The	﻿the
individual	individual
work	work
is	is
in	in
the	the
public	public
domain	domain
in	in
the	the
United	united
States	states
and	and
you	you
are	are
located	located
in	in
the	the
United	united
States,	states
we	we
do	do
not	not
claim	claim
a	a
right	right
to	to
prevent	prevent
you	you
from	from
copying,	copying
distributing,	distributing
performing,	performing
displaying	displaying
or	or
creating	creating
derivative	derivative
works	works
based	based
on	on
the	the
work	work
as	as
long	long
as	as
all	all
references	references
to	to
Project	project
Gutenberg	gutenberg
are	are
removed.	removed
Of	of
course,	course
we	we
hope	hope
that	that
you	you
will	will
support	support
the	the
Project	project
Gutenberg-tm	gutenberg-tm
mission	mission
of	of
promoting	promoting
free	free
access	access
to	to
electronic	electronic
works	works
by	by
freely	freely
sharing	sharing
Project	project
Gutenberg-tm	gutenberg-tm
works	works
in	in
compliance	compliance
with	with
the	the
terms	terms
of	of
this	this
agreement	agreement
for	for
keeping	keeping
the	the
Project	project
Gutenberg-tm	gutenberg-tm
name	name
associated	associated
with	with
the	the
work.	work
You	you
can	can
easily	easily
comply	comply
with	with
the	the
terms	terms
of	of
this	this
agreement	agreement
by	by
keeping	keeping
this	this
work	work
in	in
the	the
same	same
format	format
with	with
its	its
attached	attached
full	full
Project	project
Gutenberg-tm	gutenberg-tm
License	license
when	when
you	you
share	share
it	it
without	without
charge	charge
with	with
others.	others
1.D.	1.d
The	the
copyright	copyright
laws	laws
of	of
the	the
place	place
where	where
you	you
are	are
located	located
also	also
govern	govern
what	what
you	you
can	can
do	do
with	with
this	this
work.	work
Copyright	copyright
laws	laws
in	in
most	most
countries	countries
are	are
in	in
a	a
constant	constant
state	state
of	of
change.	change
If	if
you	you
are	are
outside	outside
the	the
United	united
States,	states
check	check
the	the
laws	laws
of	of
your	your
country	country
in	in
addition	addition
to	to
the	the
terms	terms
of	of
this	this
agreement	agreement
before	before
downloading,	downloading
copying,	copying
displaying,	displaying
performing,	performing
distributing	distributing
or	or
creating	creating
derivative	derivative
works	works
based	based
on	on
this	this
work	work
or	or
any	any
other	other
Project	project
Gutenberg-tm	gutenberg-tm
work.	work
The	the
Foundation	foundation
makes	makes
no	no
representations	representations
concerning	concerning
the	the
copyright	copyright
status	status
of	of
any	any
work	work
in	in
any	any
country	country
outside	outside
the	the
United	united
States.	states
1.E.	1.e
Unless	unless
you	you
have	have
removed	removed
all	all
references	references
to	to
Project	project
Gutenberg:	gutenberg:
1.E.1.	1.e.1
The	the
following	following
sentence,	sentence
with	with
active	active
links	links
to,	to
or	or
other	other
immediate	immediate
access	access
to,	to
the	the
full	full
Project	project
Gutenberg-tm	gutenberg-tm
License	license
must	must
appear	appear
prominently	prominently
whenever	whenever
any	any
copy	copy
of	of
a	a
Project	project
Gutenberg-tm	gutenberg-tm
work	work
(any	(any
work	work
on	on
which	which
the	the
phrase	phrase
"""Project"	"""project"
"Gutenberg"""	"gutenberg"""
appears,	appears
or	or
with	with
which	which
the	the
phrase	phrase
"""Project"	"""project"
"Gutenberg"""	"gutenberg"""
is	is
associated)	associated)
is	is
accessed,	accessed
displayed,	displayed
performed,	performed
viewed,	viewed
copied	copied
or	or
distributed:	distributed:
This	this
eBook	ebook
is	is
for	for
the	the
use	use
of	of
anyone	anyone
anywhere	anywhere
at	at
no	no
cost	cost
and	and
with	with
almost	almost
no	no
restrictions	restrictions
whatsoever.	whatsoever
You	you
may	may
copy	copy
it,	it
give	give
it	it
away	away
or	or
re-use	re-use
it	it
under	under
the	the
terms	terms
of	of
the	the
Project	project
Gutenberg	gutenberg
License	license
included	included
with	with
this	this
eBook	ebook
or	or
online	online
at	at
www.gutenberg.org	www.gutenberg.org
1.E.2.	1.e.2
If	if
an	an
individual	individual
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
work	work
is	is
derived	derived
from	from
the	the
public	public
domain	domain
(does	(does
not	not
contain	contain
a	a
notice	notice
indicating	indicating
that	that
it	it
is	is
posted	posted
with	with
permission	permission
of	of
the	the
copyright	copyright
holder),	holder)
the	the
work	work
can	can
be	be
copied	copied
and	and
distributed	distributed
to	to
anyone	anyone
in	in
the	the
United	united
States	states
without	without
paying	paying
any	any
fees	fees
or	or
charges.	charges
If	if
you	you
are	are
redistributing	redistributing
or	or
providing	providing
access	access
to	to
a	a
work	work
with	with
the	the
phrase	phrase
"""Project"	"""project"
"Gutenberg"""	"gutenberg"""
associated	associated
with	with
or	or
appearing	appearing
on	on
the	the
work,	work
you	you
must	must
comply	comply
either	either
with	with
the	the
requirements	requirements
of	of
paragraphs	paragraphs
1.E.1	1.e.1
through	through
1.E.7	1.e.7
or	or
obtain	obtain
permission	permission
for	for
the	the
use	use
of	of
the	the
work	work
and	and
the	the
Project	project
Gutenberg-tm	gutenberg-tm
trademark	trademark
as	as
set	set
forth	forth
in	in
paragraphs	paragraphs
1.E.8	1.e.8
or	or
1.E.9.	1.e.9
1.E.3.	1.e.3
If	if
an	an
individual	individual
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
work	work
is	is
posted	posted
with	with
the	the
permission	permission
of	of
the	the
copyright	copyright
holder,	holder
your	your
use	use
and	and
distribution	distribution
must	must
comply	comply
with	with
both	both
paragraphs	paragraphs
1.E.1	1.e.1
through	through
1.E.7	1.e.7
and	and
any	any
additional	additional
terms	terms
imposed	imposed
by	by
the	the
copyright	copyright
holder.	holder
Additional	additional
terms	terms
will	will
be	be
linked	linked
to	to
the	the
Project	project
Gutenberg-tm	gutenberg-tm
License	license
for	for
all	all
works	works
posted	posted
with	with
the	the
permission	permission
of	of
the	the
copyright	copyright
holder	holder
found	found
at	at
the	the
beginning	beginning
of	of
this	this
work.	work
1.E.4.	1.e.4
Do	do
not	not
unlink	unlink
or	or
detach	detach
or	or
remove	remove
the	the
full	full
Project	project
Gutenberg-tm	gutenberg-tm
License	license
terms	terms
from	from
this	this
work,	work
or	or
any	any
files	files
containing	containing
a	a
part	part
of	of
this	this
work	work
or	or
any	any
other	other
work	work
associated	associated
with	with
Project	project
Gutenberg-tm.	gutenberg-tm
1.E.5.	1.e.5
Do	do
not	not
copy,	copy
display,	display
perform,	perform
distribute	distribute
or	or
redistribute	redistribute
this	this
electronic	electronic
work,	work
or	or
any	any
part	part
of	of
this	this
electronic	electronic
work,	work
without	without
prominently	prominently
displaying	displaying
the	the
sentence	sentence
set	set
forth	forth
in	in
paragraph	paragraph
1.E.1	1.e.1
with	with
active	active
links	links
or	or
immediate	immediate
access	access
to	to
the	the
full	full
terms	terms
of	of
the	the
Project	project
Gutenberg-tm	gutenberg-tm
License.	license
1.E.6.	1.e.6
You	you
may	may
convert	convert
to	to
and	and
distribute	distribute
this	this
work	work
in	in
any	any
binary,	binary
compressed,	compressed
marked	marked
up,	up
nonproprietary	nonproprietary
or	or
proprietary	proprietary
form,	form
including	including
any	any
word	word
processing	processing
or	or
hypertext	hypertext
form.	form
However,	however
if	if
you	you
provide	provide
access	access
to	to
or	or
distribute	distribute
copies	copies
of	of
a	a
Project	project
Gutenberg-tm	gutenberg-tm
work	work
in	in
a	a
format	format
other	other
than	than
"""Plain"	"""plain"
Vanilla	vanilla
"ASCII"""	"ascii"""
or	or
other	other
format	format
used	used
in	in
the	the
official	official
version	version
posted	posted
on	on
the	the
official	official
Project	project
Gutenberg-tm	gutenberg-tm
web	web
site	site
(www.gutenberg.org),	(www.gutenberg.org)
you	you
must,	must
at	at
no	no
additional	additional
cost,	cost
fee	fee
or	or
expense	expense
to	to
the	the
user,	user
provide	provide
a	a
copy,	copy
a	a
means	means
of	of
exporting	exporting
a	a
copy,	copy
or	or
a	a
means	means
of	of
obtaining	obtaining
a	a
copy	copy
upon	upon
request,	request
of	of
the	the
work	work
in	in
its	its
original	original
"""Plain"	"""plain"
Vanilla	vanilla
"ASCII"""	"ascii"""
or	or
other	other
form.	form
Any	any
alternate	alternate
format	format
must	must
include	include
the	the
full	full
Project	project
Gutenberg-tm	gutenberg-tm
License	license
as	as
specified	specified
in	in
paragraph	paragraph
1.E.1.	1.e.1
1.E.7.	1.e.7
Do	do
not	not
charge	charge
a	a
fee	fee
for	for
access	access
to,	to
viewing,	viewing
displaying,	displaying
performing,	performing
copying	copying
or	or
distributing	distributing
any	any
Project	project
Gutenberg-tm	gutenberg-tm
works	works
unless	unless
you	you
comply	comply
with	with
paragraph	paragraph
1.E.8	1.e.8
or	or
1.E.9.	1.e.9
1.E.8.	1.e.8
You	you
may	may
charge	charge
a	a
reasonable	reasonable
fee	fee
for	for
copies	copies
of	of
or	or
providing	providing
access	access
to	to
or	or
distributing	distributing
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works	works
provided	provided
that	that
-	-
You	you
pay	pay
a	a
royalty	royalty
fee	fee
of	of
20%	20%
of	of
the	the
gross	gross
profits	profits
you	you
derive	derive
from	from
the	the
use	use
of	of
Project	project
Gutenberg-tm	gutenberg-tm
works	works
calculated	calculated
using	using
the	the
method	method
you	you
already	already
use	use
to	to
calculate	calculate
your	your
applicable	applicable
taxes.	taxes
The	the
fee	fee
is	is
owed	owed
to	to
the	the
owner	owner
of	of
the	the
Project	project
Gutenberg-tm	gutenberg-tm
trademark,	trademark
but	but
he	he
has	has
agreed	agreed
to	to
donate	donate
royalties	royalties
under	under
this	this
paragraph	paragraph
to	to
the	the
Project	project
Gutenberg	gutenberg
Literary	literary
Archive	archive
Foundation.	foundation
Royalty	royalty
payments	payments
must	must
be	be
paid	paid
within	within
60	60
days	days
following	following
each	each
date	date
on	on
which	which
you	you
prepare	prepare
(or	(or
are	are
legally	legally
required	required
to	to
prepare)	prepare)
your	your
periodic	periodic
tax	tax
returns.	returns
Royalty	royalty
payments	payments
should	should
be	be
clearly	clearly
marked	marked
as	as
such	such
and	and
sent	sent
to	to
the	the
Project	project
Gutenberg	gutenberg
Literary	literary
Archive	archive
Foundation	foundation
at	at
the	the
address	address
specified	specified
in	in
Section	section
4,	4
"""Information"	"""information"
about	about
donations	donations
to	to
the	the
Project	project
Gutenberg	gutenberg
Literary	literary
Archive	archive
"Foundation."""	"foundation."""
-	-
You	you
provide	provide
a	a
full	full
refund	refund
of	of
any	any
money	money
paid	paid
by	by
a	a
user	user
who	who
notifies	notifies
you	you
in	in
writing	writing
(or	(or
by	by
e-mail)	e-mail)
within	within
30	30
days	days
of	of
receipt	receipt
that	that
s/he	s/he
does	does
not	not
agree	agree
to	to
the	the
terms	terms
of	of
the	the
full	full
Project	project
Gutenberg-tm	gutenberg-tm
License.	license
You	you
must	must
require	require
such	such
a	a
user	user
to	to
return	return
or	or
destroy	destroy
all	all
copies	copies
of	of
the	the
works	works
possessed	possessed
in	in
a	a
physical	physical
medium	medium
and	and
discontinue	discontinue
all	all
use	use
of	of
and	and
all	all
access	access
to	to
other	other
copies	copies
of	of
Project	project
Gutenberg-tm	gutenberg-tm
works.	works
-	-
You	you
provide,	provide
in	in
accordance	accordance
with	with
paragraph	paragraph
1.F.3,	1.f.3
a	a
full	full
refund	refund
of	of
any	any
money	money
paid	paid
for	for
a	a
work	work
or	or
a	a
replacement	replacement
copy,	copy
if	if
a	a
defect	defect
in	in
the	the
electronic	electronic
work	work
is	is
discovered	discovered
and	and
reported	reported
to	to
you	you
within	within
90	90
days	days
of	of
receipt	receipt
of	of
the	the
work.	work
-	-
You	you
comply	comply
with	with
all	all
other	other
terms	terms
of	of
this	this
agreement	agreement
for	for
free	free
distribution	distribution
of	of
Project	project
Gutenberg-tm	gutenberg-tm
works.	works
1.E.9.	1.e.9
If	if
you	you
wish	wish
to	to
charge	charge
a	a
fee	fee
or	or
distribute	distribute
a	a
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
work	work
or	or
group	group
of	of
works	works
on	on
different	different
terms	terms
than	than
are	are
set	set
forth	forth
in	in
this	this
agreement,	agreement
you	you
must	must
obtain	obtain
permission	permission
in	in
writing	writing
from	from
both	both
the	the
Project	project
Gutenberg	gutenberg
Literary	literary
Archive	archive
Foundation	foundation
and	and
Michael	michael
Hart,	hart
the	the
owner	owner
of	of
the	the
Project	project
Gutenberg-tm	gutenberg-tm
trademark.	trademark
Contact	contact
the	the
Foundation	foundation
as	as
set	set
forth	forth
in	in
Section	section
3	3
below.	below
1.F.	1.f
1.F.1.	1.f.1
Project	project
Gutenberg	gutenberg
volunteers	volunteers
and	and
employees	employees
expend	expend
considerable	considerable
effort	effort
to	to
identify,	identify
do	do
copyright	copyright
research	research
on,	on
transcribe	transcribe
and	and
proofread	proofread
public	public
domain	domain
works	works
in	in
creating	creating
the	the
Project	project
Gutenberg-tm	gutenberg-tm
collection.	collection
Despite	despite
these	these
efforts,	efforts
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
works,	works
and	and
the	the
medium	medium
on	on
which	which
they	they
may	may
be	be
stored,	stored
may	may
contain	contain
"""Defects,"""	"""defects,"""
such	such
as,	as
but	but
not	not
limited	limited
to,	to
incomplete,	incomplete
inaccurate	inaccurate
or	or
corrupt	corrupt
data,	data
transcription	transcription
errors,	errors
a	a
copyright	copyright
or	or
other	other
intellectual	intellectual
property	property
infringement,	infringement
a	a
defective	defective
or	or
damaged	damaged
disk	disk
or	or
other	other
medium,	medium
a	a
computer	computer
virus,	virus
or	or
computer	computer
codes	codes
that	that
damage	damage
or	or
cannot	cannot
be	be
read	read
by	by
your	your
equipment.	equipment
1.F.2.	1.f.2
LIMITED	limited
WARRANTY,	warranty
DISCLAIMER	disclaimer
OF	of
DAMAGES	damages
-	-
Except	except
for	for
the	the
"""Right"	"""right"
of	of
Replacement	replacement
or	or
"Refund"""	"refund"""
described	described
in	in
paragraph	paragraph
1.F.3,	1.f.3
the	the
Project	project
Gutenberg	gutenberg
Literary	literary
Archive	archive
Foundation,	foundation
the	the
owner	owner
of	of
the	the
Project	project
Gutenberg-tm	gutenberg-tm
trademark,	trademark
and	and
any	any
other	other
party	party
distributing	distributing
a	a
Project	project
Gutenberg-tm	gutenberg-tm
electronic	electronic
work	work
under	under
this	this
agreement,	agreement
disclaim	disclaim
all	all
liability	liability
to	to
you	you
for	for
damages,	damages
costs	costs
and	and
expenses,	expenses
including	including
legal	legal
fees.	fees
YOU	you
AGREE	agree
THAT	that
YOU	you
HAVE	have
NO	no
REMEDIES	remedies
FOR	for
NEGLIGENCE,	negligence
STRICT	strict
LIABILITY,	liability
BREACH	breach
OF	of
WARRANTY	warranty
OR	or
BREACH	breach
OF	of
CONTRACT	contract
EXCEPT	except
THOSE	those
PROVIDED	provided
IN	in
PARAGRAPH	paragraph
1.F.3.	1.f.3
YOU	you
AGREE	agree
THAT	that
THE	the
FOUNDATION,	foundation
THE	the
TRADEMARK	trademark
OWNER,	owner
AND	and
ANY	any
DISTRIBUTOR	distributor
UNDER	under
THIS	this
AGREEMENT	agreement
WILL	will
NOT	not
BE	be
LIABLE	liable
TO	to
YOU	you
FOR	for
ACTUAL,	actual
DIRECT,	direct
INDIRECT,	indirect
CONSEQUENTIAL,	consequential
PUNITIVE	punitive
OR	or
INCIDENTAL	incidental
DAMAGES	damages
EVEN	even
IF	if
YOU	you
GIVE	give
NOTICE	notice
OF	of
THE	the
POSSIBILITY	possibility
OF	of
SUCH	such
DAMAGE.	damage
1.F.3.	1.f.3
LIMITED	limited
RIGHT	right
OF	of
REPLACEMENT	replacement
OR	or
REFUND	refund
-	-
If	if
you	you
discover	discover
a	a
defect	defect
in	in
this	this
electronic	electronic
work	work
within	within
90	90
days	days
of	of
receiving	receiving
it,	it
you	you
can	can
receive	receive
a	a
refund	refund
of	of
the	the
money	money
(if	(if
any)	any)
you	you
paid	paid
for	for
it	it
by	by
sending	sending
a	a
written	written
explanation	explanation
to	to
the	the
person	person
you	you
received	received
the	the
work	work
from.	from
If	if
you	you
received	received
the	the
work	work
on	on
a	a
physical	physical
medium,	medium
you	you
must	must
return	return
the	the
medium	medium
with	with
your	your
written	written
explanation.	explanation
The	the
person	person
or	or
entity	entity
that	that
provided	provided
you	you
with	with
the	the
defective	defective
work	work
may	may
elect	elect
to	to
provide	provide
a	a
replacement	replacement
copy	copy
in	in
lieu	lieu
of	of
a	a
refund.	refund
If	if
you	you
received	received
the	the
work	work
electronically,	electronically
the	the
person	person
or	or
entity	entity
providing	providing
it	it
to	to
you	you
may	may
choose	choose
to	to
give	give
you	you
a	a
second	second
opportunity	opportunity
to	to
receive	receive
the	the
work	work
electronically	electronically
in	in
lieu	lieu
of	of
a	a
refund.	refund
If	if
the	the
second	second
copy	copy
is	is
also	also
defective,	defective
you	you
may	may
demand	demand
a	a
refund	refund
in	in
writing	writing
without	without
further	further
opportunities	opportunities
to	to
fix	fix
the	the
problem.	problem
1.F.4.	1.f.4
Except	except
for	for
the	the
limited	limited
right	right
of	of
replacement	replacement
or	or
refund	refund
set	set
forth	forth
in	in
paragraph	paragraph
1.F.3,	1.f.3
this	this
