@@1514,8,March
@@1514,161,Martin
@@1514,173,Roman
@@1514,288,Torgau
@@1514,311,Augsburg
@@1514,407,March
@@1514,413,Frederick
@@1514,481,Ansbach
@@1514,483,Franconia
@@1514,489,Frederick
@@1514,634,Frederick
@@1514,868,Wittenberg
@@1514,875,Martin
@@1514,931,Adrian
@@1514,1069,Kaliningrad
@@1514,1194,Torgau
@@1514,1225,Augsburg
@@1514,1540,Frederick
@@1514,1646,March
@@1514,1809,Roman
@@1514,2081,Frederick
@@1514,2118,Anna
@@1514,2122,March
@@1514,2149,Frederick
@@2514,3,Aswan
@@2514,55,Aswan
@@2514,58,Aswan
@@2514,71,Aswan
@@2514,105,Aswan
@@2514,196,Aswan
@@2514,318,Alexandria
@@2514,340,Aswan
@@2514,367,Aswan
@@2514,369,Alexandria
@@2514,373,Aswan
@@2514,391,Aswan
@@2514,393,Luxor
@@2514,406,Aswan
@@2514,526,Aswan
@@2514,567,Aswan
@@2514,608,Aswan
@@2514,646,Aswan
@@2514,685,South Valley
@@2514,696,Aswan
@@2514,700,Hurghada
@@2514,739,Aswan
@@2514,752,Aswan
@@2514,779,Aswan
@@2514,871,Aswan
@@2514,876,Aswan
@@2514,915,Aswan
@@2514,920,Aswan
@@2514,943,Aswan
@@2514,959,Aswan
@@2514,977,Aswan
@@2514,984,Luxor
@@2514,986,Kitchener
@@2514,990,Temple
@@3514,17,Elizabeth
@@3514,427,Police
@@3514,492,Independence
@@4514,123,Monsanto
@@4514,143,Liberty
@@4514,168,Clearfield
@@4514,199,Clearfield
@@4514,229,Union
@@4514,559,Monsanto
@@4514,841,Monsanto
@@4514,884,Monsanto
@@4514,916,Florida
@@4514,939,Puerto Rico
@@4514,1129,Monsanto
@@4514,1317,Mexico
@@4514,1331,Mexico
@@4514,1376,Mexico
@@4514,1427,Oaxaca
@@4514,1623,Monsanto
@@4514,1840,Federal
@@4514,1927,Central
@@4514,1945,Salvador
@@4514,2004,Monsanto
@@4514,2016,Beijing
@@6514,2,Dublin
@@6514,5,Dublin
@@6514,30,Dublin
@@6514,47,Dublin
@@6514,62,Dublin
@@6514,81,Norman
@@6514,90,Dublin
@@6514,112,Dublin
@@6514,118,Dublin
